SportID,SportName,WorldGoverningBody,TeamID,TeamName,FoundedYear,Country,PlayerID,PlayerName,Nationality
1,Soccer,FIFA,218,AmbitionArmy,1998,England,2000,Harper,German
2,Basketball,FIBA,257,PeakPerformers,2023,England,2001,Matthew,Spanish
3,Tennis,ITF,267,QuestQuesters,2023,Italy,2002,Nicolas,Australian
4,Baseball,MLB,271,TurboTempest,2023,England,2003,Emerson,French
1,Soccer,FIFA,227,SynthSentries,2007,Spain,2004,Vance,Italian
2,Basketball,FIBA,239,VirtualVikings,2019,USA,2005,Rex,German
3,Tennis,ITF,207,VortexVisionaries,1987,France,2006,Jaiden,Spanish
4,Baseball,MLB,284,PixelParagons,2023,Italy,2007,Maddox,Australian
1,Soccer,FIFA,264,SummitSeekers,2023,England,2008,Jensen,French
2,Basketball,FIBA,266,PathfindersPro,2023,Spain,2009,Kade,Italian
3,Tennis,ITF,296,HelixHarbingers,2023,USA,2010,Gordon,German
4,Baseball,MLB,223,NeonNomads,2003,France,2011,Sam,Spanish
1,Soccer,FIFA,265,IceInferno,2023,France,2012,Darien,Australian
2,Basketball,FIBA,261,ProPioneers,2023,England,2013,Kenneth,French
3,Tennis,ITF,276,PeakPursuers,2023,England,2014,Carsen,Italian
4,Baseball,MLB,269,PinnaclePros,2023,USA,2015,Jayvion,German
1,Soccer,FIFA,234,LeadingLuminaries,2014,France,2016,Robert,Spanish
2,Basketball,FIBA,291,VirtueVoyagers,2023,France,2017,Jan,Australian
3,Tennis,ITF,250,LunarLuminaries,2023,England,2018,Christian,French
4,Baseball,MLB,205,TriumphTroopers,1985,Italy,2019,Cael,Italian
1,Soccer,FIFA,212,PursuitPros,1992,Spain,2020,Deacon,German
2,Basketball,FIBA,280,VirtualVoyagers,2023,England,2021,Lorenzo,Spanish
3,Tennis,ITF,249,MasteryMinds,2023,Italy,2022,Rowan,Australian
4,Baseball,MLB,257,PeakPerformers,2023,England,2023,Leon,French
1,Soccer,FIFA,270,PrimePlayers,2023,Italy,2024,Jax,Italian
2,Basketball,FIBA,233,VictoryVanguard,2013,Italy,2025,Messiah,German
3,Tennis,ITF,292,MissionMasters,2023,France,2026,Yandel,Spanish
4,Baseball,MLB,262,DigitalDynamo,2023,France,2027,Aydin,Australian
1,Soccer,FIFA,241,EtherEagles,2021,England,2028,Will,French
2,Basketball,FIBA,221,DreamDriven,2001,France,2029,Emmanuel,Italian
3,Tennis,ITF,266,PathfindersPro,2023,Spain,2030,Brennan,German
4,Baseball,MLB,220,GoalGuardians,2000,Italy,2031,Warren,Spanish
1,Soccer,FIFA,286,SuccessSeekers,2023,England,2032,Yosef,Australian
2,Basketball,FIBA,251,QuantumQuartet,2023,England,2033,Ari,French
3,Tennis,ITF,288,PhantomPhalanx,2023,Spain,2034,Jesus,Italian
4,Baseball,MLB,254,ExcellenceElite,2023,France,2035,Deegan,German
1,Soccer,FIFA,221,DreamDriven,2001,France,2036,Marvin,Spanish
2,Basketball,FIBA,270,PrimePlayers,2023,Italy,2037,Judah,Australian
3,Tennis,ITF,260,ProgressPioneers,2023,England,2038,Cason,French
4,Baseball,MLB,204,RealityRiders,1984,Spain,2039,Cyrus,Italian
1,Soccer,FIFA,261,ProPioneers,2023,England,2040,Gustavo,German
2,Basketball,FIBA,213,CosmicCrusaders,1993,France,2041,Boston,Spanish
3,Tennis,ITF,230,SynthSeekers,2010,England,2042,Gage,Australian
4,Baseball,MLB,268,NexusNavigators,2023,England,2043,Leland,French
1,Soccer,FIFA,301,GoldGoalGetters,2023,France,2044,Miguel,Italian
